"IEU","LOCALIDAD","SIGLAS","ESTADO_IEU","CARRERA","ESTADO_CARRERA","TITULO"
"Academia Militar de Venezuela","Caracas","AMV","0","Ciencias y Artes Militares Opción Terrestre","0","Licenciado en Ciencias y Artes Militares Opción Terrestre"
"Colegio Universitario de Administración y Mercadeo","Ampliación Guacara","CUAM","1","Informática (Técnica)","1","Técnico Superior en Informática"
"Colegio Universitario de Administración y Mercadeo","Ampliación Guacara","CUAM","1","Preescolar (Técnica)","1","Técnico Superior en Preescolar"
"Colegio Universitario de Administración y Mercadeo","Ampliación Guacara","CUAM","1","Administración de Recursos Humanos (Técnica)","1","Técnico Superior en Administración de Personal o Recursos Humanos"
"Colegio Universitario de Administración y Mercadeo","Ampliación Guacara","CUAM","1","Administración de Empresas (Técnica)","1","Técnico Superior en Administración de Empresas"
"Colegio Universitario de Administración y Mercadeo","Ampliación Guacara","CUAM","1","Mercadotecnia","1","Técnico Superior en Mercadotecnia"
"Colegio Universitario de Administración y Mercadeo","Ampliación Guacara","CUAM","1","Contaduría (Técnica)","1","Técnico Superior Universitario en Contaduría"
"Colegio Universitario de Administración y Mercadeo","Ampliación Guacara","CUAM","1","Administración de Aduanas","1","Técnico Superior Universitario en Administración de Aduanas"
"Colegio Universitario de Administración y Mercadeo","Ampliación Guacara","CUAM","1","Turismo Mención Hotelería (Técnica)","1","Técnico Superior en Turismo"
"Colegio Universitario de Administración y Mercadeo","Extensión Cagua","CUAM","1","Informática (Técnica)","1","Técnico Superior en Informática"
"Colegio Universitario de Administración y Mercadeo","Extensión Cagua","CUAM","1","Preescolar (Técnica)","1","Técnico Superior en Preescolar"
"Colegio Universitario de Administración y Mercadeo","Extensión Cagua","CUAM","1","Contaduría (Técnica)","1","Técnico Superior Universitario en Contaduría"
"Colegio Universitario de Administración y Mercadeo","Extensión Cagua","CUAM","1","Administración de Recursos Humanos (Técnica)","1","Técnico Superior en Administración de Personal o Recursos Humanos"
"Colegio Universitario de Administración y Mercadeo","Extensión Cagua","CUAM","1","Administración de Empresas (Técnica)","1","Técnico Superior en Administración de Empresas"
"Colegio Universitario de Administración y Mercadeo","Extensión Cagua","CUAM","1","Mercadotecnia","1","Técnico Superior en Mercadotecnia"
"Colegio Universitario de Administración y Mercadeo","Extensión Cagua","CUAM","1","Administración Aduanera (Técnica)","0","Técnico Superior Universitario en Administración de Aduanas"
"Colegio Universitario de Administración y Mercadeo","Extensión Cagua","CUAM","1","Administración de Aduanas","1","Técnico Superior Universitario en Administración de Aduanas"
"Colegio Universitario de Administración y Mercadeo","Extensión Cagua","CUAM","1","Turismo Mención Hotelería (Técnica)","0","Técnico Superior en Turismo"
"Colegio Universitario de Administración y Mercadeo","Extensión Calabozo","CUAM","1","Informática (Técnica)","1","Técnico Superior en Informática"
"Colegio Universitario de Administración y Mercadeo","Extensión Calabozo","CUAM","1","Preescolar (Técnica)","1","Técnico Superior en Preescolar"
"Colegio Universitario de Administración y Mercadeo","Extensión Calabozo","CUAM","1","Administración de Empresas (Técnica)","1","Técnico Superior en Administración de Empresas"
"Colegio Universitario de Administración y Mercadeo","Extensión Calabozo","CUAM","1","Mercadotecnia","1","Técnico Superior en Mercadotecnia"
"Colegio Universitario de Administración y Mercadeo","Extensión Calabozo","CUAM","1","Contaduría (Técnica)","1","Técnico Superior Universitario en Contaduría"
"Colegio Universitario de Administración y Mercadeo","Extensión Caracas","CUAM","1","Informática (Técnica)","1","Técnico Superior en Informática"
"Colegio Universitario de Administración y Mercadeo","Extensión Caracas","CUAM","1","Administración de Recursos Humanos (Técnica)","1","Técnico Superior en Administración de Personal o Recursos Humanos"
"Colegio Universitario de Administración y Mercadeo","Extensión Caracas","CUAM","1","Administración de Empresas (Técnica)","1","Técnico Superior en Administración de Empresas"
"Colegio Universitario de Administración y Mercadeo","Extensión Caracas","CUAM","1","Mercadotecnia","1","Técnico Superior en Mercadotecnia"
"Colegio Universitario de Administración y Mercadeo","Extensión Caracas","CUAM","1","Contaduría (Técnica)","1","Técnico Superior Universitario en Contaduría"
"Colegio Universitario de Administración y Mercadeo","Extensión Caracas","CUAM","1","Administración Aduanera (Técnica)","0","Técnico Superior Universitario en Administración de Aduanas"
